genus	species	N	TL	TV	ON	EL	EW	EL_2	EW_2	EV	EV_TV	DAL	TF	TFC	TFC_TF
Drosophila	adunca	3	2.823333333 ± 0.1101514109	22.57439433 ± 2.692645291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	anomalipes	3	2.116666667 ± 0.8488423489	12.36723567 ± 10.32568469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	atroscutellata	1	1.3	2.197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	comatifemora	1	1.77	5.545233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	cracens	1	1.26	2.000376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	crucigera	1	2.27	11.697083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	dasycnemia / waddingtoni	8	1.5375 ± 0.0894027804	3.667248 ± 0.6642389351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	diamphidiopoda	1	2.36	13.144256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	dissita	1	1.38	2.628072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	flavibasis	1	1.09	1.295029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	fungiperda	1	1.62	4.251528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	glabriapex	1	2.12	9.528128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	grimshawi	13	2.288461538 ± 0.153668808	12.13436069 ± 2.419326041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	hawaiiensis	5	2.136 ± 0.1264120247	9.8260584 ± 1.64988109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	hemipeza	4	2.3675 ± 0.08220908303	13.30637225 ± 1.429522134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	heteroneura	5	2.616 ± 0.1013903348	17.9679276 ± 2.171994636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	incognita	2	1.765 ± 0.02121320344	5.4995635 ± 0.198256478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	kualapa	1	1.3	2.197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	melanocephala	5	3.112 ± 0.06140032573	30.1665712 ± 1.806163277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	micromyia	1	1.6	4.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	mimica	13	1.788846154 ± 0.09683994196	5.771217257 ± 0.9642042624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	mitchelli	3	1.843333333 ± 0.1588500341	6.354912333 ± 1.543081409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	nanella	4	1.0275 ± 0.07135591543	1.09658025 ± 0.2277079458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	neopicta	2	2.44 ± 0.2121320344	14.691484 ± 3.79362081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	neutralis	4	1.4575 ± 0.04924428901	3.10414225 ± 0.315721327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	nigella	3	1.856666667 ± 0.1101514109	6.444881667 ± 1.102955362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	nr residua	5	1.258 ± 0.06418722614	2.0032486 ± 0.3009675408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	ochracea	1	2.3	12.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	papaalai	1	1.12	1.404928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	percnosoma	14	1.594285714 ± 0.1527549211	4.154684571 ± 1.136289342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	perissopoda / basimacula	24	1.462083333 ± 0.1487916304	3.219757458 ± 1.005165069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	petalopeza	1	1.81	5.929741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	picticornis	12	1.834166667 ± 0.1244959534	6.249708417 ± 1.313686024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	planitibia	6	2.588333333 ± 0.2504728861	17.73602983 ± 4.698472976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	prolaticilia	2	1.86 ± 0.01414213562	6.435414 ± 0.1467798114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	redunca / prodita	3	1.503333333 ± 0.005773502692	3.397650333 ± 0.03923152814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	setosimentum	6	1.996666667 ± 0.1196104789	8.030119667 ± 1.354402512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	silvestris	6	2.545 ± 0.1484250653	16.6256785 ± 2.983591396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	sproati	1	2.57	16.974593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	tanythrix	7	2.245714286 ± 0.2733042958	11.73261429 ± 3.521690392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	torula	4	1.63 ± 0.08445906306	4.356733 ± 0.6607480782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	unicula	2	1.145 ± 0.007071067812	1.5012095 ± 0.02781121681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	villosipedis	5	2.176 ± 0.1335290231	10.3957468 ± 1.861929422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	ampliloba	1	1.41	2.803221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	caliginosa	9	0.8444444444 ± 0.0505250213	0.6079711111 ± 0.1118030313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	chauliodon / magnipalpa)	1	1.66	4.574296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	devexa	3	0.7533333333 ± 0.03785938897	0.4296653333 ± 0.06279079833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	hackmani / tumudula	5	1.178 ± 0.2810160138	1.8522758 ± 1.106959245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scaptomyza	palmae / anomala	10	0.86 ± 0.07601169501	0.64928 ± 0.1624289309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	adunca	3	NA	NA	10.66666667 ± 1.154700538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	anomalipes	3	NA	NA	34.33333333 ± 5.033222957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	atroscutellata	1	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	comatifemora	1	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	cracens	1	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	crucigera	1	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	dasycnemia / waddingtoni	8	NA	NA	12.22375 ± 1.913993115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	diamphidiopoda	1	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	dissita	1	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	flavibasis	1	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	fungiperda	1	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	glabriapex	1	NA	NA	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	grimshawi	8	NA	NA	47.75 ± 7.025463889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	hawaiiensis	7	NA	NA	37.28571429 ± 2.811540842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	hemipeza	11	NA	NA	42.36363636 ± 3.50064929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	heteroneura	12	NA	NA	37.08333333 ± 2.968266508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	incognita	2	NA	NA	6.5 ± 0.7071067812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	kualapa	1	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	melanocephala	4	NA	NA	88.5 ± 6.137317547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drosophila	micromyia	1	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
